Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
10,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,"CM, F&E",In-Progress,06/15/2017,03/11/2018,
10,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,Scope,Complete,01/14/2016,05/16/2016,04/20/2016
10,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,Design,Complete,06/01/2016,10/17/2016,10/14/2016
10,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,Construction,In-Progress,11/07/2017,08/03/2018,
10,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,"CM, F&E",In-Progress,11/07/2017,08/03/2018,
10,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,Construction,Complete,10/19/2016,IEH,07/01/2017
10,FORDHAM HS FOR THE ARTS - BX,SCA IEH,Construction,Complete,04/06/2017,IEH,08/09/2017
10,DEWITT CLINTON HS - X,SCA CIP,Scope,Complete,10/03/2012,02/22/2013,09/10/2013
10,DEWITT CLINTON HS - X,SCA CIP,Design,Complete,12/18/2013,05/21/2014,03/10/2015
10,DEWITT CLINTON HS - X,SCA CIP,Construction,In-Progress,07/07/2016,01/02/2019,
10,DEWITT CLINTON HS - X,SCA CIP,"CM, F&E",In-Progress,07/07/2016,01/02/2019,
10,DEWITT CLINTON HS - X,SCA CIP,Scope,Complete,11/22/2013,03/21/2014,03/03/2014
10,DEWITT CLINTON HS - X,SCA CIP,Design,Complete,03/28/2014,09/26/2014,09/23/2014
10,DEWITT CLINTON HS - X,SCA CIP,Construction,PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP,Scope,Complete,10/24/2017,02/23/2018,11/30/2017
10,DEWITT CLINTON HS - X,SCA CIP,Design,In-Progress,11/30/2017,05/29/2018,
10,DEWITT CLINTON HS - X,SCA CIP,Construction,PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Scope,Complete,01/26/2015,05/27/2015,04/02/2015
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,DEWITT CLINTON HS - X,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
