Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
15,P.S. 121 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 124 SILAS B. DUTCHER,DIIT - RESOA,Purch & Install,In-Progress,12/26/2017,01/25/2018,
15,P.S. 130 - BROOKLYN,SCA CIP,Scope,Complete,02/21/2014,07/08/2014,06/20/2014
15,P.S. 130 - BROOKLYN,SCA CIP,Design,Complete,12/22/2014,05/26/2015,05/15/2015
15,P.S. 130 - BROOKLYN,SCA CIP,Construction,In-Progress,12/12/2016,10/02/2018,
15,P.S. 130 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,12/12/2016,10/02/2018,
15,P.S. 130 - BROOKLYN,SCA IEH,Construction,Complete,10/13/2017,IEH,10/21/2017
15,P.S. 130 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 130 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,06/19/2017,07/19/2017,10/05/2017
15,P.S. 130 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,02/09/2017,DOES,
15,P.S. 130 - BROOKLYN,Trust For Public Lan,Scope,PNS,PNS,PNS,PNS
15,P.S. 130 - BROOKLYN,Trust For Public Lan,Design,PNS,PNS,PNS,PNS
15,P.S. 130 - BROOKLYN,Trust For Public Lan,Construction,PNS,PNS,PNS,PNS
15,P.S. 130 - BROOKLYN,Trust For Public Lan,F&E,PNS,PNS,PNS,PNS
15,P.S. 131 - BROOKLYN,SCA CIP,Scope,Complete,06/12/2014,10/28/2014,11/12/2014
15,P.S. 131 - BROOKLYN,SCA CIP,Design,Complete,01/30/2015,07/01/2015,08/10/2015
15,P.S. 131 - BROOKLYN,SCA CIP,Construction,In-Progress,06/26/2017,03/17/2019,
15,P.S. 131 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,06/26/2017,03/17/2019,
15,P.S. 131 - BROOKLYN,SCA IEH,Construction,Complete,10/16/2014,IEH,09/30/2017
15,P.S. 131 - BROOKLYN,SCA IEH,Construction,Complete,04/18/2016,IEH,09/30/2017
15,P.S. 131 - BROOKLYN,SCA IEH,Construction,Complete,07/18/2017,IEH,07/22/2017
15,P.S. 131 - BROOKLYN,DCAS/NYPA,Construction,Complete,05/26/2015,05/26/2017,05/26/2017
15,P.S. 131 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 131 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/10/2017,01/15/2018,07/12/2017
15,I.S. 136 - BROOKLYN,SCA CIP,Scope,Complete,04/24/2014,08/25/2014,07/09/2014
15,I.S. 136 - BROOKLYN,SCA CIP,Design,Complete,04/24/2015,09/24/2015,11/19/2015
15,I.S. 136 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP,Scope,Complete,06/21/2017,11/06/2017,12/20/2017
15,I.S. 136 - BROOKLYN,SCA CIP,Design,PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Scope,Complete,01/14/2016,05/16/2016,02/23/2016
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Design,Complete,02/23/2016,07/07/2016,06/06/2016
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Construction,Complete,08/29/2016,03/26/2017,07/20/2017
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,"CM, F&E",Complete,08/29/2016,03/26/2017,07/20/2017
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,I.S. 821 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Scope,Complete,01/24/2017,03/24/2017,03/14/2017
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Design,Complete,03/14/2017,08/11/2017,05/15/2017
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Construction,In-Progress,06/30/2017,01/25/2018,
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,"CM, F&E",In-Progress,06/30/2017,01/25/2018,
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Scope,In-Progress,12/12/2017,02/12/2018,
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Scope,Complete,01/24/2017,05/09/2017,03/14/2017
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Design,Complete,03/14/2017,08/11/2017,05/12/2017
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,Construction,In-Progress,08/03/2017,08/02/2018,
15,I.S. 136 - BROOKLYN,SCA CIP RESOA,"CM, F&E",In-Progress,08/03/2017,08/02/2018,
15,I.S. 136 - BROOKLYN,SCA IEH,Construction,In-Progress,12/01/2015,IEH,
15,I.S. 136 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/26/2017,01/15/2018,08/22/2017
15,P.S. 146 - BROOKLYN,SCA CIP,Scope,Complete,05/17/2016,09/30/2016,11/16/2016
15,P.S. 146 - BROOKLYN,SCA CIP,Design,Complete,02/03/2017,07/06/2017,06/28/2017
15,P.S. 146 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,P.S. 146 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 146 - BROOKLYN,SCA CIP RESOA,Scope,Complete,02/14/2017,06/29/2017,03/21/2017
15,P.S. 146 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,P.S. 146 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,P.S. 146 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 57 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 57 - MANHATTAN,SCA IEH,Construction,Complete,09/29/2016,IEH,08/21/2017
4,P.S. 57 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
4,P.S. 72 - MANHATTAN,SCA CIP,Scope,Complete,03/06/2015,06/19/2015,06/19/2015
4,P.S. 72 - MANHATTAN,SCA CIP,Design,Complete,06/30/2015,12/02/2015,08/18/2016
4,P.S. 72 - MANHATTAN,SCA CIP,Construction,Complete,11/14/2016,08/10/2017,08/08/2017
4,P.S. 72 - MANHATTAN,SCA CIP,"CM, F&E",Complete,11/14/2016,08/10/2017,08/08/2017
4,P.S. 72 - MANHATTAN,SCA CIP,Scope,Complete,12/10/2013,09/29/2014,09/29/2014
4,P.S. 72 - MANHATTAN,SCA CIP,Design,Complete,09/29/2014,02/18/2015,01/09/2015
4,P.S. 72 - MANHATTAN,SCA CIP,Construction,Complete,09/21/2015,09/19/2017,09/19/2017
4,P.S. 72 - MANHATTAN,SCA CIP,"CM, F&E",Complete,09/21/2015,09/19/2017,09/19/2017
4,P.S. 72 - MANHATTAN,SCA IEH,Construction,Complete,05/24/2017,IEH,08/23/2017
4,P.S. 72 - MANHATTAN,SCA IEH,Construction,Complete,09/01/2017,IEH,11/25/2017
4,P.S. 83 - MANHATTAN,SCA CIP,Scope,Complete,06/18/2015,11/03/2015,11/04/2015
4,P.S. 83 - MANHATTAN,SCA CIP,Design,Complete,12/02/2015,05/19/2016,04/04/2017
4,P.S. 83 - MANHATTAN,SCA CIP,Construction,In-Progress,07/31/2017,01/21/2019,
4,P.S. 83 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,07/31/2017,01/21/2019,
4,P.S. 182 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,P.S. 182 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,P.S. 182 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,P.S. 182 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 182 - MANHATTAN,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,07/26/2017
4,P.S. 182 - MANHATTAN,DOE- RESOA,Construction,In-Progress,07/27/2016,DOER,
4,P.S. 96 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,P.S. 96 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,P.S. 96 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,P.S. 96 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 96 - MANHATTAN,SCA IEH,Construction,Complete,07/05/2017,IEH,08/26/2017
4,P.S. 96 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
4,P.S. 96 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
4,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,Scope,Complete,08/28/2015,12/28/2015,01/19/2016
4,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,Design,Complete,02/26/2016,07/27/2016,12/21/2016
4,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,Construction,In-Progress,03/20/2017,06/17/2018,
4,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,"CM, F&E",In-Progress,03/20/2017,06/17/2018,
4,SCHOOL SAFETY - MANHATTAN,SCA IEH,Construction,Complete,07/14/2017,IEH,07/16/2017
4,I.S. 224 - MANHATTAN,SCA IEH,Construction,Complete,10/10/2017,IEH,11/16/2017
4,PS/IS 375 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,PS/IS 375 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,PS/IS 375 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,PS/IS 375 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,PS/IS 375 - MANHATTAN,SCA IEH,Construction,In-Progress,11/24/2017,IEH,
4,PS/IS 375 - MANHATTAN,SCA IEH,Construction,In-Progress,12/04/2017,IEH,
4,M811 SPED - MANHATTAN,Fast Track Projects,Construction,Complete,01/13/2017,FTK,09/19/2017
4,M811 SPED - MANHATTAN,Fast Track Projects,Construction,Complete,04/18/2017,FTK,08/17/2017
4,P.S. 101 - MANHATTAN,DOE - Lead Paint,Construction,Complete,08/03/2016,DOEL,08/03/2016
4,P.S. 101 - MANHATTAN,DOE - Lead Paint,Construction,Complete,03/01/2017,DOEL,04/06/2017
4,P.S. 101 - MANHATTAN,DOE - Lead Paint,Construction,Complete,03/31/2017,DOEL,05/24/2017
4,P.S. 101 - MANHATTAN,DOE - Lead Paint,Construction,In-Progress,08/03/2017,DOEL,
4,PS/IS 375 - MANHATTAN,DOE- RESOA,Construction,In-Progress,07/18/2017,DOER,
4,P.S. 102 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,P.S. 102 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,P.S. 102 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,P.S. 102 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 102 - MANHATTAN,DIIT - RESOA,Purch & Install,PNS,PNS,PNS,PNS
4,P.S. 102 - MANHATTAN,DOE - Lead Paint,Construction,In-Progress,08/04/2017,DOEL,
4,M169 SPED - MANHATTAN,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
4,THE HERITAGE SCHOOL - MANHATTA,DOE - Skilled Trades,Construction,In-Progress,09/06/2017,DOES,
4,P.S. 108 - MANHATTAN,SCA CIP,Scope,Complete,10/13/2015,03/17/2016,12/22/2015
4,P.S. 108 - MANHATTAN,SCA CIP,Design,Complete,12/31/2015,06/02/2016,06/29/2016
4,P.S. 108 - MANHATTAN,SCA CIP,Construction,In-Progress,02/10/2017,08/03/2018,
4,P.S. 108 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,02/10/2017,08/03/2018,
4,P.S. 108 - MANHATTAN,SCA CIP RESOA,Scope,Complete,06/16/2017,08/16/2017,08/22/2017
4,P.S. 108 - MANHATTAN,SCA CIP RESOA,Design,In-Progress,08/22/2017,12/22/2017,
4,P.S. 108 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,P.S. 108 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,I.S. 372 - MANHATTAN,SCA CIP,Scope,Complete,03/14/2014,06/27/2014,06/27/2014
4,I.S. 372 - MANHATTAN,SCA CIP,Design,Complete,07/18/2014,12/19/2014,12/17/2014
4,I.S. 372 - MANHATTAN,SCA CIP,Construction,In-Progress,07/10/2017,04/05/2018,
4,I.S. 372 - MANHATTAN,SCA CIP,"CM, F&E",In-Progress,07/10/2017,04/05/2018,
4,I.S. 12 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,I.S. 12 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,I.S. 12 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,I.S. 12 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,I.S. 12 - MANHATTAN,SCA IEH,Construction,Complete,10/03/2016,IEH,12/07/2017
4,I.S. 12 - MANHATTAN,SCA IEH,Construction,Complete,08/09/2017,IEH,11/25/2017
4,I.S. 12 - MANHATTAN,SCA IEH,Construction,Complete,08/18/2017,IEH,11/18/2017
4,I.S. 12 - MANHATTAN,SCA IEH,Construction,In-Progress,11/16/2017,IEH,
4,P.S. 38 ROBERTO CLEMENTE,DIIT - RESOA,Purch & Install,In-Progress,10/13/2017,01/25/2018,
4,P.S. 38 ROBERTO CLEMENTE,DIIT - RESOA,Purch & Install,In-Progress,10/13/2017,02/01/2018,
4,P.S. 146 - MANHATTAN,DIIT - PBX Telephone,Purch & Install,Complete,07/01/2017,06/30/2018,07/19/2017
4,AMBER CHARTER SCHOOL - M,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,AMBER CHARTER SCHOOL - M,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,AMBER CHARTER SCHOOL - M,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,AMBER CHARTER SCHOOL - M,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 171 - MANHATTAN,SCA CIP,Scope,In-Progress,12/18/2017,05/04/2018,
4,P.S. 171 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
4,P.S. 171 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
4,P.S. 171 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
4,P.S. 171 - MANHATTAN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
4,P.S. 171 - MANHATTAN,DOE - Skilled Trades,Construction,In-Progress,01/06/2016,DOES,
4,P.S. 206 - MANHATTAN,SCA CIP RESOA,Scope,Complete,02/07/2017,04/07/2017,05/09/2017
4,P.S. 206 - MANHATTAN,SCA CIP RESOA,Design,In-Progress,05/09/2017,10/10/2017,
4,P.S. 206 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,P.S. 206 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,MANHTN CT FOR MATH & SCI. HS -,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
4,MANHTN CT FOR MATH & SCI. HS -,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
4,MANHTN CT FOR MATH & SCI. HS -,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
4,MANHTN CT FOR MATH & SCI. HS -,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
4,MANHTN CT FOR MATH & SCI. HS,SCA IEH,Construction,Complete,05/15/2017,IEH,07/19/2017
4,PARK EAST ALT HS,SCA Emergency Lighti,Scope,Complete,09/12/2003,09/12/2003,09/12/2003
4,PARK EAST ALT HS,SCA Emergency Lighti,Design,Complete,09/15/2003,10/30/2003,10/30/2003
4,PARK EAST ALT HS,SCA Emergency Lighti,Construction,In-Progress,05/10/2004,03/15/2006,
4,PARK EAST ALT HS,SCA Emergency Lighti,CM,In-Progress,05/10/2004,03/15/2006,
4,YOUNG WOMEN'S LEADERSHIP SCHOO,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
5,FREDERICK DOUGLAS ACADEMY - M,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,08/18/2017
5,FREDERICK DOUGLAS ACADEMY - M,DOE- RESOA,Construction,Complete,08/29/2016,05/16/2017,05/16/2017
5,P.S. 30 - MANHATTAN,SCA CIP,Scope,Complete,01/23/2017,05/23/2017,03/08/2017
5,P.S. 30 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP,Scope,Complete,06/22/2017,11/07/2017,11/07/2017
5,P.S. 30 - MANHATTAN,SCA CIP,Design,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP,Construction,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 30 - MANHATTAN,SCA IEH,Construction,Complete,10/06/2017,IEH,12/02/2017
5,P.S. 36 - MANHATTAN,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
5,P.S. 36 - MANHATTAN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
5,P.S. 36 - MANHATTAN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
5,P.S. 36 - MANHATTAN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
5,P.S. 36 - MANHATTAN,DIIT - RESOA,Purch & Install,Complete,07/27/2017,11/15/2017,12/28/2017
15,I.S. 448 - BROOKLYN,SCA IEH,Construction,Complete,05/12/2017,IEH,08/08/2017
15,I.S. 448 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 146 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 154 - BROOKLYN,SCA IEH,Construction,Complete,04/03/2017,IEH,08/16/2017
15,P.S. 154 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 154 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,04/25/2017,01/15/2018,08/21/2017
15,P.S. 169 - BROOKLYN,SCA IEH,Construction,In-Progress,12/01/2017,IEH,
15,P.S. 169 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 169 - BROOKLYN,DOE- RESOA,Construction,In-Progress,07/14/2016,DOER,
15,P.S. 169 - BROOKLYN,DOE- RESOA,Construction,In-Progress,02/01/2016,DOER,
15,P.S. 169 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,02/25/2016,DOES,
15,P.S. 172 - BROOKLYN,SCA IEH,Construction,In-Progress,11/20/2017,IEH,
15,P.S. 172 - BROOKLYN,DOE- RESOA,Construction,In-Progress,06/21/2016,DOER,
15,P.S. 172 - BROOKLYN,DOE - Skilled Trades,Construction,In-Progress,02/09/2017,DOES,
15,P.S. 230 - BROOKLYN,SCA CIP,Scope,Complete,04/06/2017,08/07/2017,06/15/2017
15,P.S. 230 - BROOKLYN,SCA CIP,Design,Complete,06/20/2017,01/18/2018,08/22/2017
15,P.S. 230 - BROOKLYN,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Scope,In-Progress,12/19/2017,02/20/2018,
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 230 - BROOKLYN,SCA IEH,Construction,In-Progress,08/31/2017,IEH,
15,P.S. 230 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,06/21/2017,07/21/2017,09/21/2017
15,P.S. 261 - BROOKLYN,SCA Furniture & Equi,F&E,Complete,06/12/2017,F&E,10/02/2017
15,P.S. 261 - BROOKLYN,DIIT - RESOA,Purch & Install,Complete,09/05/2017,10/30/2017,10/05/2017
15,EDUCATIONAL CAMPUS @ 500 19TH,SCA Lease Site Impro,Scope,Complete,03/16/2016,03/16/2016,03/16/2016
15,EDUCATIONAL CAMPUS @ 500 19TH,SCA Lease Site Impro,Design,Complete,03/17/2016,08/29/2016,04/19/2017
15,EDUCATIONAL CAMPUS @ 500 19TH,SCA Lease Site Impro,Construction,In-Progress,08/07/2017,08/06/2019,
15,EDUCATIONAL CAMPUS @ 500 19TH,SCA Lease Site Impro,"CM, F&E",In-Progress,08/07/2017,08/06/2019,
15,PRE-K CENTER AT BISHOP FORD SC,SCA IEH,Construction,Complete,05/03/2017,IEH,07/09/2017
15,EDUCATIONAL CAMPUS @ 500 19TH,DOE - Skilled Trades,Construction,In-Progress,10/01/2016,DOES,
15,SCHOOL FOR INT'L STUD - K,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,DIGITAL ARTS AND CINEMA TECHNO,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,P.S. 321 - BROOKLYN,SCA CIP,Scope,Complete,08/11/2014,12/29/2014,01/15/2015
15,P.S. 321 - BROOKLYN,SCA CIP,Design,Complete,01/20/2015,07/07/2015,01/07/2016
15,P.S. 321 - BROOKLYN,SCA CIP,Construction,In-Progress,12/12/2016,03/06/2018,
15,P.S. 321 - BROOKLYN,SCA CIP,"CM, F&E",In-Progress,12/12/2016,03/06/2018,
15,P.S. 321 - BROOKLYN,SCA CIP RESOA,Scope,Complete,02/05/2015,06/22/2015,05/29/2015
15,P.S. 321 - BROOKLYN,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,P.S. 321 - BROOKLYN,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,P.S. 321 - BROOKLYN,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,P.S. 321 - BROOKLYN,SCA IEH,Construction,In-Progress,07/06/2017,IEH,
15,P.S. 321 - BROOKLYN,SCA IEH,Construction,Complete,08/10/2017,IEH,08/22/2017
15,P.S. 321 - BROOKLYN,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,SUNSET PARK AVENUES ELEMENTARY,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
15,SUNSET PARK AVENUES ELEMENTARY,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,SUNSET PARK AVENUES ELEMENTARY,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,SUNSET PARK AVENUES ELEMENTARY,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,THE LITTLE BROOKLYN PRE-K CTR,SCA Furniture & Equi,F&E,Complete,01/19/2017,F&E,07/21/2017
15,P.S./I.S. 338 - BROOKLYN,SCA Capacity,Scope,Complete,05/26/2010,11/23/2010,10/21/2010
15,P.S./I.S. 338 - BROOKLYN,SCA Capacity,Design,Complete,10/22/2010,06/27/2011,03/14/2014
15,P.S./I.S. 338 - BROOKLYN,SCA Capacity,Construction,In-Progress,06/23/2014,03/08/2017,
15,P.S./I.S. 338 - BROOKLYN,SCA Capacity,"CM,Art,F&E",In-Progress,06/23/2014,03/08/2017,
15,COY L. COX SCHOOL,SCA CIP,Scope,Complete,08/04/2016,12/21/2016,03/01/2017
15,COY L. COX SCHOOL,SCA CIP,Design,Complete,05/22/2017,10/23/2017,11/27/2017
15,COY L. COX SCHOOL,SCA CIP,Construction,PNS,PNS,PNS,PNS
15,COY L. COX SCHOOL,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
15,COY L. COX SCHOOL,DIIT - Project Conne,Purch & Install,In-Progress,06/24/2013,12/31/2013,
15,SECONDARY SCHOOL FOR LAW - K,SCA CIP,Scope,Complete,09/15/2014,01/15/2015,03/18/2015
15,SECONDARY SCHOOL FOR LAW - K,SCA CIP,Design,Complete,05/27/2015,10/16/2015,03/10/2016
15,SECONDARY SCHOOL FOR LAW - K,SCA CIP,Construction,In-Progress,08/22/2017,04/07/2019,
15,SECONDARY SCHOOL FOR LAW - K,SCA CIP,"CM, F&E",In-Progress,08/22/2017,04/07/2019,
15,SECONDARY SCHOOL FOR JOURNALIS,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
15,SECONDARY SCHOOL FOR JOURNALIS,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
15,SECONDARY SCHOOL FOR JOURNALIS,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
15,SECONDARY SCHOOL FOR JOURNALIS,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
15,SECONDARY SCHOOL FOR LAW - K,SCA IEH,Construction,In-Progress,11/27/2017,IEH,
15,PARK SLOPE COLLEGIATE - K,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,07/25/2017
15,SECONDARY SCHOOL FOR JOURNALIS,DIIT - RESOA,Purch & Install,In-Progress,12/26/2017,01/25/2018,
15,SECONDARY SCHOOL FOR LAW - K,DIIT - RESOA,Purch & Install,Complete,05/19/2017,01/15/2018,10/10/2017
15,MILLENIUM BROOKLYN HIGH SCHOOL,DIIT - RESOA,Purch & Install,Complete,04/25/2017,01/15/2018,10/10/2017
15,BROOKLYN FRONTIERS HIGH SCHOOL,SCA CIP,Scope,Complete,04/26/2017,07/26/2017,05/30/2017
15,BROOKLYN FRONTIERS HIGH SCHOOL,SCA CIP,Design,Complete,07/13/2017,12/14/2017,08/23/2017
